team,decimal_odds,market_type,bookmaker
Algeria,,outright_winner,
Argentina,,outright_winner,
Australia,,outright_winner,
Austria,,outright_winner,
Belgium,,outright_winner,
Brazil,,outright_winner,
Canada,,outright_winner,
Cape Verde,,outright_winner,
Colombia,,outright_winner,
Croatia,,outright_winner,
Curacao,,outright_winner,
Ecuador,,outright_winner,
Egypt,,outright_winner,
England,,outright_winner,
France,,outright_winner,
Germany,,outright_winner,
Ghana,,outright_winner,
Haiti,,outright_winner,
Iran,,outright_winner,
Ivory Coast,,outright_winner,
Japan,,outright_winner,
Jordan,,outright_winner,
Korea Republic,,outright_winner,
Mexico,,outright_winner,
Morocco,,outright_winner,
Netherlands,,outright_winner,
New Zealand,,outright_winner,
Norway,,outright_winner,
Panama,,outright_winner,
Paraguay,,outright_winner,
Portugal,,outright_winner,
Qatar,,outright_winner,
Saudi Arabia,,outright_winner,
Scotland,,outright_winner,
Senegal,,outright_winner,
South Africa,,outright_winner,
Spain,,outright_winner,
Switzerland,,outright_winner,
Tunisia,,outright_winner,
Uruguay,,outright_winner,
USA,,outright_winner,
Uzbekistan,,outright_winner,
